symbol,date,news_volume,news_tone
ETHUSDT,2021-12-22,22,1.6159927597286381
ETHUSDT,2021-12-23,24,0.32448128784655805
ETHUSDT,2021-12-24,15,1.5263337691440688
ETHUSDT,2021-12-25,6,0.54030956498190619
ETHUSDT,2021-12-26,5,1.8529050345198692
ETHUSDT,2021-12-27,28,0.51069844397192288
ETHUSDT,2021-12-28,15,1.6440328076292678
ETHUSDT,2021-12-29,12,1.2947883877514177
ETHUSDT,2021-12-30,10,1.3315788261075581
ETHUSDT,2021-12-31,9,0.28396558944866457
ETHUSDT,2022-01-01,8,0.33262669857376542
ETHUSDT,2022-01-02,6,1.1996967337420712
ETHUSDT,2022-01-03,9,0.40536569854705679
ETHUSDT,2022-01-04,32,0.015986784267661369
ETHUSDT,2022-01-05,20,0.531386191028837
ETHUSDT,2022-01-06,24,0.72967907106953422
ETHUSDT,2022-01-07,24,-0.30396791611012636
ETHUSDT,2022-01-08,14,0.11675687529656276
ETHUSDT,2022-01-09,11,-0.029295003824061971
ETHUSDT,2022-01-10,22,0.79613673562888454
ETHUSDT,2022-01-11,20,-0.26489616687169609
ETHUSDT,2022-01-12,69,-1.7096890995589822
ETHUSDT,2022-01-13,34,0.35851638998049079
ETHUSDT,2022-01-14,16,1.636129343593018
ETHUSDT,2022-01-15,11,-0.21512183560841036
ETHUSDT,2022-01-16,12,0.023140120736259887
ETHUSDT,2022-01-17,19,1.097069184312079
ETHUSDT,2022-01-18,22,1.0446122666182729
ETHUSDT,2022-01-19,65,1.4728284079682883
ETHUSDT,2022-01-20,15,0.093246633801492937
ETHUSDT,2022-01-21,23,1.1155161084910499
ETHUSDT,2022-01-22,12,-2.1442709161495555
ETHUSDT,2022-01-23,12,1.0052454452232693
ETHUSDT,2022-01-24,31,0.67188343809703044
ETHUSDT,2022-01-25,26,0.2619383971403515
ETHUSDT,2022-01-26,29,1.8063773709902153
ETHUSDT,2022-01-27,34,1.9931763114985959
ETHUSDT,2022-01-28,10,1.1440653678718968
ETHUSDT,2022-01-29,9,-3.8720394147967259
ETHUSDT,2022-01-30,5,-0.52726962689592294
ETHUSDT,2022-01-31,19,0.68515134907911968
ETHUSDT,2022-02-01,13,0.94981532766434973
ETHUSDT,2022-02-02,22,0.34815175968863105
ETHUSDT,2022-02-03,31,-0.71067515267173
ETHUSDT,2022-02-04,14,0.631851341927513
ETHUSDT,2022-02-05,15,1.5274752083024103
ETHUSDT,2022-02-06,10,2.0068996304691282
ETHUSDT,2022-02-07,20,-0.41542026860785991
ETHUSDT,2022-02-08,25,0.755646692449193
ETHUSDT,2022-02-09,26,0.84364360578916053
ETHUSDT,2022-02-10,21,1.4347592553117967
ETHUSDT,2022-02-11,17,0.32846218025911489
ETHUSDT,2022-02-12,10,0.20634669513972032
ETHUSDT,2022-02-13,2,1.49487435534432
ETHUSDT,2022-02-14,28,1.3926275804039898
ETHUSDT,2022-02-15,19,-0.37883078998950126
ETHUSDT,2022-02-16,21,0.728892813013834
ETHUSDT,2022-02-17,24,0.87723102677262255
ETHUSDT,2022-02-18,17,-0.50182765793591644
ETHUSDT,2022-02-19,12,1.592727443787427
ETHUSDT,2022-02-20,8,-0.28901920023582123
ETHUSDT,2022-02-21,16,0.34649354216120576
ETHUSDT,2022-02-22,42,1.6593095803575071
ETHUSDT,2022-02-23,28,1.114899133836927
ETHUSDT,2022-02-24,18,-1.5438268229747525
ETHUSDT,2022-02-25,33,0.47118840694145375
ETHUSDT,2022-02-26,22,-0.708019612932619
ETHUSDT,2022-02-27,8,-0.41451612902068447
ETHUSDT,2022-02-28,22,0.31876898604213633
ETHUSDT,2022-03-01,30,-0.22733610256075945
ETHUSDT,2022-03-02,21,0.44388772358762074
ETHUSDT,2022-03-03,12,0.18470839854229082
ETHUSDT,2022-03-04,13,-0.74480666180631
ETHUSDT,2022-03-05,4,-0.37100084957129043
ETHUSDT,2022-03-06,3,1.26386820561975
ETHUSDT,2022-03-07,13,1.0923690883979262
ETHUSDT,2022-03-08,19,1.1492803515488623
ETHUSDT,2022-03-09,26,0.69859264202707594
ETHUSDT,2022-03-10,30,1.8581604917232466
ETHUSDT,2022-03-11,17,1.3451554022312957
ETHUSDT,2022-03-12,3,1.1335099329263199
ETHUSDT,2022-03-13,7,0.50522312419361737
ETHUSDT,2022-03-14,27,1.4885702530584359
ETHUSDT,2022-03-15,25,-0.63297761564178312
ETHUSDT,2022-03-16,29,1.0636291609838588
